Этаж,Площадь,Ссылка,Грузовой лифт,Количество этажей,Количество квартир,Количество балконов,Прописано,Горячее водоснабжение,Комнат,Кухня,Прописанные несовершеннолетние,Цена,Количество лифтов,Газ,Несовершеннолетние собственники,Серия дома,Тип сделки,Санузел,Год постройки,Перепланировка,Жилая,Цена за квадрат,Вид из окон,Детская площадка,Материал стен,Высота потолков,Ремонт,Балкон,Район,Лет в собственности,Мусоропровод,Тип фундамента,Тип перекрытий,Лифт,Количество собственников
3,58 м2,https://domclick.ru/card/sale__flat__2058743263,есть,14,,2,,,3,10 м2,,4750000₽,2,нет,,v-кирпичный,Свободная продажа,Раздельный,1988,,40 м2,81896₽/м²,,,Кирпичный,2.7,Евро,,ленинский,От трех до пяти,есть,,Железобетонный,есть,1
3,27 м2,https://domclick.ru/card/sale__flat__2059116383,нет,17,391,1,,,,5 м2,нет,2280000₽,1,нет,нет,,Переуступка,Совмещенный,2021,нет,12 м2,84444₽/м²,,,Панельный,2.7,Без ремонта,,ленинский,Меньше трех,,,Железобетонный,есть,1
1,"56,1 м2",https://domclick.ru/card/sale__flat__2059027097,,17,,1,,,2,12 м2,,4700000₽,1,есть,,индивидуальный проект 11060.3.00-12-ас,Свободная продажа,,2012,,33 м2,83778₽/м²,во двор,,Панельный,2.7,евроремонт,,ленинский,,есть,,Железобетонный,есть,
5,42 м2,https://domclick.ru/card/sale__flat__2059208352,нет,5,80,,3,,2,"5,5 м2",нет,3320000₽,,есть,нет,1-447,Свободная продажа,,1964,нет,28 м2,79047₽/м²,,,Кирпичный,,,нет,ленинский,Больше пяти,,,Железобетонный,,3
9,"41,6 м2",https://domclick.ru/card/sale__flat__2059177157,,9,,1,,,1,10 м2,,2550000₽,1,есть,,а монолитный,Свободная продажа,,1993,,20 м2,61298₽/м²,,,Монолитный,,косметический,,ленинский,,есть,,Железобетонный,есть,
4,45 м2,https://domclick.ru/card/sale__flat__2056683359,,5,100,1,,,2,6 м2,,1990000₽,,есть,,"i, блочный",Свободная продажа,,1973,,,44222₽/м²,"во двор, на улицу",,Блочный,,Требует ремонта,,ленинский,,,,Железобетонный,,
1,"93,4 м2",https://domclick.ru/card/sale__flat__2057501247,,4,,,,,3,11 м2,,10500000₽,,есть,,v-кирпичный,Свободная продажа,,1936,,70 м2,112419₽/м²,,,Кирпичный,,,нет,ленинский,,,Ленточный,Железобетонный,,
12,22 м2,https://domclick.ru/card/sale__flat__2057361788,есть,14,332,1,,Центральное,,,нет,2770000₽,3,нет,нет,,Свободная продажа,Совмещенный,2022,нет,,125909₽/м²,,,Панельный,,Косметический,,ленинский,,,,Железобетонный,,
8,61 м2,https://domclick.ru/card/sale__flat__2059552450,нет,9,,2,,Центральное,3,,,5000000₽,1,есть,,,Свободная продажа,Раздельный,1979,,,81967₽/м²,во двор,,Кирпичный,2.5,Косметический,,ленинский,,,,Железобетонный,,
1,51 м2,https://domclick.ru/card/sale__flat__2057032249,,9,,1,,,2,8 м2,,3999000₽,1,есть,,1-панельный,Свободная продажа,,1982,,,78411₽/м²,на улицу,,Панельный,,Хороший,,ленинский,,есть,,Железобетонный,есть,
11,"21,8 м2",https://domclick.ru/card/sale__flat__2055937369,,17,359,1,,,,6 м2,,2299000₽,1,нет,,,Свободная продажа,,2019,,"15,8 м2",105458₽/м²,на улицу,,Панельный,,косметический,,ленинский,,,,Железобетонный,есть,
5,68 м2,https://domclick.ru/card/sale__flat__1619577950,нет,5,,1,,,3,9 м2,нет,3650000₽,,есть,нет,,Свободная продажа,Раздельный,1979,нет,40 м2,53676₽/м²,во двор,,Панельный,2.7,Евро,,ленинский,Больше пяти,,,,,2
